product_name,product_rating,product_current_price,product_url
Cuphead Nintendo Switch Game,"Rating 5.000009 out of 5
(9)",£27.99,https://www.argos.co.uk/product/4705105
Sonic Superstars Nintendo Switch Game,"Rating 4.700013 out of 5
(13)",£32.99,https://www.argos.co.uk/product/5024830
Barbie DreamHouse Adventures Nintendo Switch Game,"Rating 4.900008 out of 5
(8)",£31.99,https://www.argos.co.uk/product/6795443
Fantasy Friends: Under The Sea Nintendo Switch Game,"Rating 5.000007 out of 5
(7)",£11.99,https://www.argos.co.uk/product/5815506
Unravel Two Nintendo Switch Game,"Rating 5.000005 out of 5
(5)",£23.99,https://www.argos.co.uk/product/8815778
Transformers Battlegrounds Nintendo Switch Game,"Rating 5.000005 out of 5
(5)",£9.99,https://www.argos.co.uk/product/7140592
DreamWorks Trolls Remix Rescue Nintendo Switch Game,"Rating 4.800006 out of 5
(6)",£23.99,https://www.argos.co.uk/product/6827713
Let's Sing 2024 Nintendo Switch Game,"Rating 5.000004 out of 5
(4)",£41.99,https://www.argos.co.uk/product/5250642
My Universe: Cooking Star Restaurant Nintendo Switch Game,"Rating 4.400008 out of 5
(8)",£11.99,https://www.argos.co.uk/product/5827972
Fashion Dreamer Nintendo Switch Game,"Rating 5.000003 out of 5
(3)",£19.99,https://www.argos.co.uk/product/6822158
Alex Kidd In Miracle World DX Nintendo Switch Game,"Rating 4.300006 out of 5
(6)",£9.99,https://www.argos.co.uk/product/7126509
Little Friends: Puppy Island Nintendo Switch Game,"Rating 5.000002 out of 5
(2)",£19.99,https://www.argos.co.uk/product/5818352
LEGO The Incredibles Nintendo Switch Game,"Rating 4.100007 out of 5
(7)",£15.99,https://www.argos.co.uk/product/5025114
30 in 1 Game Collection Vol. 2 Nintendo Switch Game,"Rating 4.300003 out of 5
(3)",£11.99,https://www.argos.co.uk/product/4849645
FUN FUN Animal Park Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£11.99,https://www.argos.co.uk/product/4721701
Batman: Arkham Trilogy Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£29.99,https://www.argos.co.uk/product/3989843
The Smurfs Village Party Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/5813515
Ben 10 Power Trip Nintendo Switch Game,,£9.99,https://www.argos.co.uk/product/4880161
Construction Machines Simulator Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4849683
My Little Pony A Zephyr Heights Mystery Nintendo Switch Game,,£32.99,https://www.argos.co.uk/product/4747754
Disney Epic Mickey: Rebrushed Nintendo Switch Game Pre-Order,,£40.99,https://www.argos.co.uk/product/4650085
Little Friends Dogs & Cats Nintendo Switch Game,,£21.99,https://www.argos.co.uk/product/4633332
Kids vs Parents Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4077170
Little Nightmares Complete Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4033592
My Universe: School Teacher Nintendo Switch Game,"Rating 2.800009 out of 5
(9)",£11.99,https://www.argos.co.uk/product/5827817
Ring Fit Adventure Nintendo Switch Game,"Rating 4.901099 out of 5
(1099)",£52.99,https://www.argos.co.uk/product/4658214
Sonic Mania Plus Nintendo Switch Game,"Rating 4.700175 out of 5
(175)",£22.99,https://www.argos.co.uk/product/5253481
Captain Toad: Treasure Tracker Nintendo Switch Game,"Rating 4.700143 out of 5
(143)",£27.99,https://www.argos.co.uk/product/6824606
New Super Lucky's Tale Nintendo Switch Game,"Rating 4.700106 out of 5
(106)",£11.99,https://www.argos.co.uk/product/3989434
Sonic Forces Nintendo Switch Game,"Rating 4.600108 out of 5
(108)",£22.99,https://www.argos.co.uk/product/4847049
Crash Bandicoot 4: It's About Time Nintendo Switch Game,"Rating 4.800045 out of 5
(45)",£23.99,https://www.argos.co.uk/product/4706647
Mario Strikers: Battle League Football Nintendo Switch Game,"Rating 4.800036 out of 5
(36)",£37.99,https://www.argos.co.uk/product/4722614
James Pond: Codename Robocod Nintendo Switch Game,"Rating 4.500076 out of 5
(76)",£8.99,https://www.argos.co.uk/product/5647736
Super Mario RPG Nintendo Switch Game,"Rating 4.900026 out of 5
(26)",£37.99,https://www.argos.co.uk/product/5550005
Shaun The Sheep: Home Sheep Home Nintendo Switch Game,"Rating 4.600047 out of 5
(47)",£11.99,https://www.argos.co.uk/product/4701130
Sonic Colours Ultimate Nintendo Switch Game,"Rating 4.80003 out of 5
(30)",£22.99,https://www.argos.co.uk/product/5259887
Stardew Valley Nintendo Switch Game,"Rating 4.900025 out of 5
(25)",£30.99,https://www.argos.co.uk/product/4797694
Table Top Racing Nitro Edition Nintendo Switch Game,"Rating 4.500058 out of 5
(58)",£8.99,https://www.argos.co.uk/product/5025956
Five Nights At Freddy's: Help Wanted Nintendo Switch Game,"Rating 5.000016 out of 5
(16)",£19.99,https://www.argos.co.uk/product/6824297
Trivial Pursuit Live! Nintendo Switch Game,"Rating 4.80002 out of 5
(20)",£11.99,https://www.argos.co.uk/product/4702672
Among Us: Crewmate Edition Nintendo Switch Game,"Rating 4.600027 out of 5
(27)",£19.99,https://www.argos.co.uk/product/4700959
Bluey: The Videogame Nintendo Switch Game,"Rating 4.800017 out of 5
(17)",£30.99,https://www.argos.co.uk/product/7081541
Sonic Frontiers Nintendo Switch Game,"Rating 4.700019 out of 5
(19)",£32.99,https://www.argos.co.uk/product/5815609
Gang Beasts Nintendo Switch Game,"Rating 4.900013 out of 5
(13)",£23.99,https://www.argos.co.uk/product/7149287
Golf With Your Friends Nintendo Switch Game,"Rating 4.600018 out of 5
(18)",£11.99,https://www.argos.co.uk/product/6792910
Harvest Moon: Light Of Hope Special Edn Nintendo Switch Game,"Rating 4.700015 out of 5
(15)",£8.99,https://www.argos.co.uk/product/3989283
Rabbids: Party Of Legends Nintendo Switch Game,"Rating 4.700015 out of 5
(15)",£7.20,https://www.argos.co.uk/product/2998244
Five Nights At Freddy's Security Breach Nintendo Switch Game,"Rating 5.00001 out of 5
(10)",£27.99,https://www.argos.co.uk/product/6827775
Mortal Kombat 11 Nintendo Switch Game,"Rating 4.400028 out of 5
(28)",£15.99,https://www.argos.co.uk/product/7081211
Assassin's Creed: The Ezio Collection Nintendo Switch Game,"Rating 4.800011 out of 5
(11)",£16.49,https://www.argos.co.uk/product/5792186
Colors Live Nintendo Switch Game,"Rating 4.80001 out of 5
(10)",£42.99,https://www.argos.co.uk/product/4744771
Sonic Origins Plus Nintendo Switch Game,"Rating 4.900008 out of 5
(8)",£23.99,https://www.argos.co.uk/product/7085176
